Incidence Rate Report for United States by County

"Ovary, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Stevens County, Washington(6,10)",53065,***,14.4 ,8.5, 23,4,stable,-10.5 ,-59.9, 100.0
"Claiborne County, Tennessee(6,10)",47025,***,14.4 ,7.9, 24.4,3,*,*,*,*
"Mercer County, New Jersey(7,8)",34021,***,14.3 ,12.2, 16.8,32,stable,-0.6 ,-1.5, 0.3
"Jefferson County, Arkansas(6,10)",05069,***,14.3 ,9.7, 20.6,6,stable,5.3 ,-12.1, 26.0
"Monongalia County, West Virginia(6,10)",54061,***,14.3 ,9.9, 20.1,7,stable,18.8 ,-21.5, 79.9
"Webster County, Iowa(7)",19187,***,14.3 ,8.2, 23.6,3,*,*,*,*
"Guernsey County, Ohio(6,10)",39059,***,14.3 ,8, 23.8,3,*,*,*,*
"McKean County, Pennsylvania(6,10)",42083,***,14.3 ,8.4, 23,4,stable,20.3 ,-13.7, 67.7
"Greene County, Arkansas(6,10)",05055,***,14.3 ,8.4, 22.9,4,stable,25.8 ,-31.5, 131.1
"Washington County, Ohio(6,10)",39167,***,14.3 ,9.5, 20.8,6,stable,-7.3 ,-24.2, 13.3
"Atascosa County, Texas(6,10)",48013,***,14.3 ,8.6, 22.4,4,stable,-3.3 ,-8.0, 1.7
"Frederick County, Maryland(6,10)",24021,***,14.3 ,11.6, 17.4,21,stable,13.6 ,-24.9, 71.8
"Calumet County, Wisconsin(6,10)",55015,***,14.3 ,8.6, 22.4,4,stable,21.7 ,-15.4, 75.2
"Carroll County, Georgia(7,8)",13045,***,14.2 ,10.3, 19.2,9,stable,0.2 ,-4.6, 5.2
"Ulster County, New York(6,10)",36111,***,14.2 ,11.2, 17.9,17,stable,-12.2 ,-48.5, 49.5
"Portsmouth City, Virginia(6,10)",51740,***,14.2 ,10.1, 19.5,8,stable,-11.0 ,-51.1, 62.0
"Nevada County, California(7,8)",06057,***,14.2 ,10.5, 19,12,stable,-0.5 ,-5.3, 4.6
"La Salle County, Illinois(6,10)",17099,***,14.2 ,10.4, 18.9,10,stable,5.4 ,-22.7, 43.7
"Lake County, California(7,8)",06033,***,14.2 ,9.6, 20.6,7,stable,-3.8 ,-8.4, 1.0
"Kanawha County, West Virginia(6,10)",54039,***,14.2 ,11.4, 17.5,20,stable,-4.7 ,-14.1, 5.7
"Crittenden County, Arkansas(6,10)",05035,***,14.2 ,8.5, 22.3,4,stable,8.3 ,-38.9, 91.7
"Louisa County, Virginia(6,10)",51109,***,14.2 ,7.9, 23.9,3,*,*,*,*
"Shasta County, California(7,8)",06089,***,14.2 ,11.1, 17.9,17,stable,0.2 ,-2.3, 2.7
"Clarendon County, South Carolina(6,10)",45027,***,14.2 ,7.8, 24,3,*,*,*,*
"Rutherford County, North Carolina(6,10)",37161,***,14.2 ,9.6, 20.3,7,stable,-11.3 ,-46.7, 47.7
"Lake County, Florida(6,10)",12069,***,14.1 ,11.9, 16.7,34,stable,-5.3 ,-33.0, 33.8
"Eau Claire County, Wisconsin(6,10)",55035,***,14.1 ,10, 19.5,8,stable,-11.6 ,-32.7, 16.1
"Bay County, Michigan(6,10)",26017,***,14.1 #  ,10.3, 18.9,10,stable,7.7 ,-20.2, 45.4
"Chester County, Pennsylvania(6,10)",42029,***,14.1 ,12.2, 16.2,44,stable,6.9 ,-0.7, 15.1
"Bradford County, Pennsylvania(6,10)",42015,***,14.1 ,9.4, 20.5,6,*,*,*,*
"Burlington County, New Jersey(7,8)",34005,***,14.1 ,12.2, 16.2,42,falling,-1.2 ,-1.9, -0.5
"Cascade County, Montana(6,10)",30013,***,14.1 ,9.9, 19.5,8,stable,19.8 ,-15.0, 69.0
"Okmulgee County, Oklahoma(6,10)",40111,***,14.1 ,8.2, 22.8,4,stable,10.3 ,-38.3, 97.1
"Barrow County, Georgia(7,8)",13013,***,14.1 ,9.1, 20.7,5,stable,-1.6 ,-6.4, 3.3
"Alamance County, North Carolina(6,10)",37001,***,14 ,10.9, 17.8,14,stable,-3.2 ,-26.2, 26.9
"Huntington County, Indiana(6,10)",18069,***,14 ,8.1, 23,3,*,*,*,*
"Rock County, Wisconsin(6,10)",55105,***,14 ,10.9, 17.8,14,stable,-11.6 ,-27.2, 7.4
"Grady County, Oklahoma(6,10)",40051,***,14 ,8.7, 21.5,4,stable,-17.4 ,-48.7, 33.1
"Chilton County, Alabama(6,10)",01021,***,14 ,8.5, 22,4,stable,1.3 ,-58.0, 144.1
"Knox County, Maine(6,10)",23013,***,13.9 ,8.5, 22.2,5,stable,-32.6 ,-60.8, 16.1
"DeKalb County, Alabama(6,10)",01049,***,13.9 ,9.4, 20,6,stable,-8.1 ,-37.3, 34.7
"Cherokee County, Oklahoma(6,10)",40021,***,13.9 ,7.9, 22.6,3,*,*,*,*
"Tompkins County, New York(6,10)",36109,***,13.9 ,9.7, 19.4,8,stable,11.8 ,-8.7, 37.0
"Tuscola County, Michigan(6,10)",26157,***,13.9 #  ,9, 20.8,5,stable,12.8 ,-27.4, 75.1
"Brazos County, Texas(6,10)",48041,***,13.9 ,10.4, 18.2,11,stable,7.6 ,-21.2, 46.9
"Houston County, Alabama(6,10)",01069,***,13.9 ,10, 18.8,9,stable,2.0 ,-22.2, 33.8
"Fayette County, Pennsylvania(6,10)",42051,***,13.9 ,10.7, 17.8,14,stable,-16.8 ,-37.9, 11.5
"Mississippi County, Arkansas(6,10)",05093,***,13.8 ,8.1, 22.1,4,stable,-10.0 ,-40.4, 36.0
"McCurtain County, Oklahoma(6,10)",40089,***,13.8 ,7.8, 23.1,3,*,*,*,*
"Walker County, Texas(6,10)",48471,***,13.8 ,8, 22.2,4,falling,-27.8 ,-41.6, -10.8
"DeKalb County, Illinois(6,10)",17037,***,13.8 ,9.5, 19.4,7,stable,1.7 ,-19.1, 27.8
"Sussex County, New Jersey(7,8)",34037,***,13.8 ,10.6, 17.8,13,stable,-1.4 ,-3.0, 0.3
"Ware County, Georgia(7)",13299,***,13.8 ,7.7, 23.1,3,*,*,*,*
"Warren County, Ohio(6,10)",39165,***,13.8 ,11, 17.1,17,stable,-6.8 ,-28.8, 21.9
"Whatcom County, Washington(7,8)",53073,***,13.8 ,10.9, 17.2,17,falling,-1.9 ,-3.3, -0.5
